Name
"INSTITUTE OF HOTEL MANAGEMENT, JODHPUR"
"INSTITUTE OF HOTEL MANAGEMENT, CATERING & NUTRITION - [IHM]"
"INSTITUTE OF HOTEL MANAGEMENT, BANGALORE - [IHM]"
"INSTITUTE OF HOTEL MANAGEMENT, GANDHI NAGAR - [IHM]"
"INSTITUTE OF HOTEL MANAGEMENT AND CATERING, UDAIPUR - [IHMC]"
"INSTITUTE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY, TRIVANDRUM - [IHMCT] KOVALAM"
"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY & APPLIED NUTRITION, KOLKATA - [IHM]"
"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY & APPLIED NUTRITION,  - [IHM]"
"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY & APPLIED NUTRITION- [IHMH ], HYDERABAD"
"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, SHILLONG"
"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, MUMBAI - [IHM]"
"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, CHENNAI - [IHM]"
"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, NORTH GOA - [IHM]"
"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, PANIPAT - [IHM]"
"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, GUWAHATI - [IHM]"
"INTERNATIONAL INSTITUTE OF HOTEL MANAGEMENT, KOLKATA - [IIHM]"
"MUNNAR CATERING COLLEGE, TRIVANDRUM - [MCC]"
"RIZVI COLLEGE OF HOTEL MANAGEMENT, MUMBAI"
"SHRI SHAKTI COLLEGE OF HOTEL MANAGEMENT, HYDERABAD - [SSCHM]"
"UNIVERSITY SCHOOL OF HOTEL MANAGEMENT & CATERING TECHNOLOGY, RAYAT BAHRA UNIVERSITY - [USHMCT]"
"VELS UNIVERSITY, CHENNAI"
"AMITY UNIVERSITY, LUCKNOW"
"BHABHA COLLEGE OF EDUCATION- [BCE], BHOPAL"
"BHARAT COLLEGE OF EDUCATION, YAMUNA NAGAR"
"BOMBAY TEACHERS' TRAINING COLLEGE, MUMBAI - [BTTC]"
"CALICUT UNIVERSITY, CALICUT"
"CHAUDHARY CHARAN SINGH UNIVERSITY, MEERUT - [CCS]"
"CSJM KANPUR UNIVERSITY, KANPUR - [CSJMU]"
"DAV COLLEGE, KANPUR - [DAV]"
"DAYANAND WOMEN'S TRAINING COLLEGE, DEHRADUN"
"DR. D.Y. PATIL VIDYA PRATISHTHAN SOCIETY'S, PUNE"
"GOVERNMENT COLLEGE OF EDUCATION FOR WOMEN, COIMBATORE"
"ICFAI UNIVERSITY, DEHRADUN"
