2018/08/23 22:57:35 [error] 13901#13901: *13567 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/competitions/competitionsevent/1/change/"
2018/08/23 23:01:24 [error] 13901#13901: *13657 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event_name=skjfhlsf"
2018/08/23 23:01:25 [error] 13901#13901: *13659 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event_name=skjfhlsf"
2018/08/23 23:02:55 [error] 13901#13901: *13698 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/group/"
2018/08/23 23:02:55 [error] 13901#13901: *13696 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/group/"
2018/08/23 23:05:49 [error] 13901#13901: *13789 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/group/1/change/"
2018/08/23 23:05:49 [error] 13901#13901: *13792 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/group/1/change/"
2018/08/23 23:05:54 [error] 13901#13901: *13789 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/group/"
2018/08/23 23:05:54 [error] 13901#13901: *13791 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/group/"
2018/08/23 23:05:56 [error] 13901#13901: *13791 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/group/1/change/"
